pl_name,pl_rade,pl_bmasse,pl_orbper,st_teff
"Kepler-173 b",1.28000000,,4.26374378000,6032.00
"Kepler-24 d",1.72000000,,4.24437621000,5952.00
"CoRoT-5 b",18.38267405,,4.03790124331,6100.00
"Kepler-117 b",6.04000000,,18.79590048000,6466.00
"Kepler-256 b",1.37000000,,1.62046783600,5936.00
"Kepler-1882 b",1.55000000,,13.78726270000,5691.00
"Kepler-229 b",2.49000000,,6.25296489800,5014.00
"Kepler-1256 b",1.50000000,,12.41285180000,5945.00
"Kepler-910 b",0.82000000,,2.36436901500,6230.00
"Kepler-438 b",0.97000000,,35.23306940000,3749.00
"Kepler-330 c",2.21000000,,15.95545002000,5108.00
"Kepler-668 b",2.52000000,,8.35389523000,5592.00
"Kepler-903 c",2.75000000,,62.92249360000,5534.00
"Kepler-143 c",2.36000000,,27.08247084000,6010.00
"Kepler-212 c",2.06000000,,31.80474045000,5914.00
"Kepler-294 b",1.73000000,,3.70120482000,5559.00
"Kepler-989 b",2.56000000,,7.96431535200,5185.00
"Kepler-345 b",1.08000000,,7.42000000000,4722.00
"Kepler-198 d",1.53000000,,1.31184443000,5636.00
"Kepler-296 e",1.08000000,,34.14189000000,3517.00
"Kepler-378 c",1.80000000,,28.90596870000,4799.00
"Kepler-871 b",3.14000000,,22.04590180000,5900.00
"Kepler-1424 b",1.10000000,,29.60913000000,5905.00
"Kepler-148 c",3.55000000,,4.18004955200,5271.00
"Kepler-278 c",2.99000000,,51.07575600000,4989.00
"Kepler-988 b",1.93000000,,17.76076524000,3826.00
"CoRoT-23 b",11.77000000,889.90000000,3.63130000000,5900.00
"Kepler-327 d",1.73000000,,13.96945700000,3799.00
"Kepler-733 b",2.82000000,,20.83424726000,5418.00
"Kepler-1540 b",2.30000000,,125.41311770000,4366.00
"Kepler-197 c",1.23000000,5.30000000,10.35000000000,
"Kepler-769 b",2.92000000,,7.42608998000,6186.00
"Kepler-191 c",2.11000000,,17.73852054000,5275.00
"Kepler-474 b",3.80000000,,5.66067293500,5716.00
"Kepler-226 d",1.30000000,,8.10904807000,5185.00
"Kepler-947 b",2.40000000,,26.96443170000,5754.00
"Kepler-174 c",1.78300000,,44.00042870000,4693.00
"Kepler-913 b",2.06000000,,10.29672521000,4687.00
"Kepler-1035 b",1.00000000,,2.71407755500,5709.00
"Kepler-1091 b",1.09000000,,1.43474156400,5672.00
"K2-104 b",1.79000000,,1.97419540000,3712.00
"Kepler-235 b",2.11000000,,3.34022436000,4074.00
"EPIC 220554210 c",1.48000000,,0.70531000000,
"Kepler-387 c",1.00000000,,11.83769330000,5772.00
"Kepler-1092 b",2.07000000,,58.60179250000,5862.00
"Kepler-33 f",4.46000000,,41.02902000000,5904.00
"Kepler-215 d",2.45000000,,30.86437869000,5741.00
"Kepler-1263 b",1.14000000,,4.55139967000,5213.00
"Kepler-1556 b",2.06000000,,8.82713457000,5812.00
"Kepler-1192 b",2.57000000,,25.20347870000,5831.00
"Kepler-795 b",1.76000000,,29.61934210000,5616.00
"Kepler-74 b",14.80000000,216.12000000,7.34071800000,6050.00
"Kepler-1461 b",1.96000000,,29.34947750000,4986.00
"K2-208 b",1.67866113,,4.19094800000,5582.00
"Kepler-1641 b",3.92000000,,19.67226600000,6486.00
"Kepler-1502 b",2.11000000,,41.70836290000,6446.00
"Kepler-1497 b",1.66000000,,8.74199772000,5675.00
"Kepler-202 c",1.88000000,,16.28247625000,4671.00
"Kepler-391 b",2.50000000,1100.00000000,7.41750000000,5038.00
"Kepler-1001 c",1.90000000,,9.18186000000,5734.00
"Kepler-338 b",2.44000000,,13.72697600000,5923.00
"Kepler-205 c",1.58000000,,20.30652862000,4121.00
"K2-104 b",2.43000000,,1.97420200000,
"Kepler-520 c",1.07000000,,5.21104261000,6112.00
"Kepler-446 c",1.11000000,,3.03617900000,3359.00
"Kepler-248 c",4.22000000,,16.23946714000,5130.00
"Kepler-1924 b",1.20000000,,15.33170180000,6028.00
"Kepler-270 c",1.59000000,,25.26290000000,6419.00
"Kepler-1154 b",1.67000000,,5.18561420000,6163.00
"K2-269 b",1.40000000,,4.14493700000,
"Kepler-913 b",2.62000000,,10.29672521000,5412.00
"Kepler-1154 c",1.67000000,,8.45808312000,6163.00
"Kepler-122 b",1.92000000,,5.76614800000,6102.00
"Kepler-1294 b",3.02000000,,115.68622580000,6032.00
"Kepler-1137 b",2.90000000,,23.92113000000,7115.00
"Kepler-153 b",2.87000000,,18.87021566000,5402.00
"Kepler-222 d",3.75000000,,28.08194365000,5431.00
"Kepler-443 b",2.32000000,,177.66866300000,4721.00
"Kepler-361 c",2.55000000,,55.18815000000,6321.00
"Kepler-188 b",1.63000000,,2.06190864000,5622.00
"Kepler-1437 b",1.32000000,,10.92954610000,5796.00
"Kepler-159 b",2.60000000,,10.13961841000,4644.00
"Kepler-379 c",2.22000000,,62.78470000000,6255.00
"Kepler-342 e",1.18000000,,1.64422103200,6297.00
"Kepler-618 b",2.31000000,,3.59573600000,6086.00
"Kepler-832 b",2.25000000,,7.13968000000,5973.00
"Kepler-730 b",10.30000000,,6.49168425900,6116.00
"Kepler-355 c",2.82000000,,25.76313000000,5929.00
"Kepler-298 b",2.20000000,,10.47548192000,4612.00
"Kepler-272 c",1.87000000,,6.05730524000,5605.00
"Kepler-1179 b",1.34000000,,2.68505749200,5266.00
"CoRoT-28 b",10.70459500,153.82972000,5.20851000000,5150.00
"K2-195 b",3.00000000,,15.85298900000,
"Kepler-363 c",2.35000000,,7.54233911000,5759.00
"Kepler-256 c",2.11000000,,3.38801224400,5553.00
"Kepler-1736 b",2.44000000,,37.81011740000,6085.00
"Kepler-822 b",1.52000000,,3.22296927300,5823.00
"Kepler-1093 c",2.08000000,,89.72229200000,6429.00
"Kepler-1387 b",0.87000000,,2.27952336400,5017.00
"Kepler-1155 b",2.60000000,,33.47025000000,5900.00
"Kepler-520 b",2.53800000,,19.67416124000,6009.00
"Kepler-1050 c",1.48000000,,21.12845690000,6010.00
"Kepler-624 b",2.45000000,,14.58649856000,6063.00
"Kepler-838 b",2.77000000,,15.74958583000,6191.00
"Kepler-1601 b",0.85100000,,2.20921951000,5752.00
"Kepler-67 b",2.83000000,,15.72589061000,5314.00
"Kepler-227 b",2.50000000,,9.48810200000,5763.00
"Kepler-1078 b",1.90000000,,3.00725242000,5612.00
"Kepler-358 b",2.77000000,,34.06076310000,5571.00
"Kepler-147 b",1.29000000,,12.61097080000,6010.00
"Kepler-776 b",1.38000000,,4.89718784000,5093.00
"Kepler-1057 b",2.75000000,,14.08827448000,5853.00
"Kepler-62 f",1.54000000,,267.28330100000,4859.00
"Kepler-228 d",3.80000000,,11.09431923000,5630.00
"Kepler-342 b",2.06000000,,15.17018900000,6464.00
"Kepler-1724 b",2.45000000,,6.45443377000,6092.00
"Kepler-175 c",3.22000000,,34.03505590000,6063.00
"Kepler-1508 b",0.98000000,,20.70565040000,5746.00
"Kepler-1740 b",3.32321414,,8.17240047500,5705.00
"Kepler-1338 b",0.92000000,,0.93511805700,6002.00
"Kepler-267 d",2.31000000,,28.46381000000,4081.00
"Kepler-633 c",2.45000000,,23.78324700000,6282.00
"Kepler-545 b",2.47000000,,13.24934059000,5936.00
